v0002_codigo_do_municipio,GeoSES,PRIMEIRA__VAR,SEGUNDA__VAR,TERCEIRA__VAR,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao,educação__VAR,mobilidade__VAR,pobreza__VAR,privacao_material__VAR,riqueza__VAR,renda__VAR,segregacao__VAR
4301404,-0.07654767652925609,P_POBREZA,MED_RENDDOM,P_SO_CARRO,68.18075487894265,0,20.50738464982469,51.816231821618345,0.28287977144480614,2382.776507889073,0.1824619977881614,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323507,-0.09147773659429936,P_POBREZA,MED_RENDDOM,P_SO_CARRO,62.50901089985098,0,25.070353944622248,27.49649371639724,0.0,3092.371165534304,0.18356157961418873,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323606,0.23750688012989007,P_POBREZA,MED_RENDDOM,P_SO_CARRO,61.70190033272766,0,5.956069445630543,55.91507724105796,0.8312344092871697,4855.53302494406,0.18970538401769588,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323705,-0.0944473205883738,P_POBREZA,MED_RENDDOM,P_SO_CARRO,62.530643372246146,0,23.639661812284004,34.287217042735726,0.0,2803.4959229130377,0.18855772994855435,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323754,-0.33218089898277503,P_POBREZA,MED_RENDDOM,P_SO_CARRO,74.89202978668635,0,39.710138062499006,31.6855087524535,0.0,1450.8421595610653,0.17673333099837585,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301503,0.016947250788390544,P_POBREZA,MED_RENDDOM,P_SO_CARRO,65.24855975296721,0,14.184849550752908,47.60299844236511,0.6425025564562006,3145.7020709623966,0.18088887981084056,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321808,-0.007515833139795758,P_POBREZA,MED_RENDDOM,P_SO_CARRO,54.68671035499415,0,19.603245550680576,38.77672107755926,0.892551316891403,2769.208321779265,0.18246557173759292,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4315008,-0.23146534580061406,P_POBREZA,MED_RENDDOM,P_SO_CARRO,69.69812774970254,0,25.951497787484527,33.52321531905522,0.25275433672931413,1795.178014826343,0.18789002473204697,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323770,0.1701650623628752,P_POBREZA,MED_RENDDOM,P_SO_CARRO,64.03375868472857,0,3.0561779481275124,42.68372510850713,1.1397341703252337,4297.56412806525,0.19971295276643097,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4323804,0.014550816904402408,P_POBREZA,MED_RENDDOM,P_SO_CARRO,59.74161909702272,0,13.899326364593694,37.32574995011005,2.002845639934325,2699.7647671537,0.17112240978476834,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
